n13439570 n13489037
n4144539 n3122748
n6470073 n6470073
n10900366 n10900366
n7375525 n7445480
n4853212 n4852088
n5936016 n5928118
n4867871 n4827652
a2240795 a2240795
n3291963 n2773037
a119750 a119750
n6313300 n8459252
n6773976 n6771653
n8195323 n8293982
v1434278 v1434278
r73657 r73657
n4085365 n3740161
n3746861 n4074482
a1128010 a1128010
n5206829 n5204637
n13001529 n12997654
n754956 n751145
n10757817 n10677713
r371651 r371651
n3996145 n3699975
n2887079 n3175604
n14349541 n5823932
n8229134 n8049401
n11311450 n11311450
n10277912 n10794014
a335225 a335225
n7855413 n7809096
n12157769 n13100677
n13495636 n13493998
a986457 a986457
a2024758 a2024758
v168588 v168588
n14722240 n14625458
n1311520 n1311520
r332069 r332069
v2411529 v2410855
v1218791 v1217043
a2445863 a2445863
n2143293 n7992450
n9571914 n9571914
n14085220 n14285662
a1481932 a1481932
n8459648 n8459648
n10204921 n10058777
n1839470 n1507175
n9532384 n9532384
a1299385 a1299385
n12794367 n12205694
v2136892 v923793
n970478 n955060
n4590263 n4341414
a349894 a349894
a1863066 a1863066
n4985064 n4983122
n3227317 n3309808
n3061819 n3285912
r155765 r155765
n5711791 n5708432
a276472 a276472
a374818 a374818
v1723579 v1712704
v1473886 v1466733
n5422852 n5246511
n11962667 n12205694
n9111636 n9111636
n4099969 n3001627
n14986144 n14984973
n3771820 n14778436
a2156579 a2156579
n2721948 n3740161
n3541696 n2913152
a2720601 a2720601
v2616713 v2616713
n9087126 n9087126
n15206744 n13575869
n14531772 n14530061
a1549185 a1549185
n11036668 n11036668
n4637722 n4623612
a1456977 a1456977
a1192639 a1192639
n3022250 n3740161
n4301760 n3431243
n4349701 n3740161
a3107596 a3107596
n14736854 n14728724
n9473558 n9473558
n3266906 n3266906
n308871 n308871
n9546905 n9545324
v482473 v296178
n1502101 n1480516
n3673450 n4508163
n597728 n582388
n13746672 n13728499
n15108324 n15010703
n8352473 n8208016
n7953827 n7951464
n14761806 n14759722
n12348294 n12348294
n729919 n795720
n13903855 n13903079
n13324297 n13306870
n7928887 n7927197
n10493419 n9632518
v1821996 v1794668
a2950711 a2950711
n7145026 n7140659
n6939542 n6904171
n11541579 n8108972
n13363893 n13384557
a624576 a624576
n6577232 n6355894
a2793513 a2793513
n6459681 n6459681
n945401 n945401
n11227206 n11227206
n2407625 n2402425
n6709442 n6709442
n2373843 n8108972
n13133316 n11669335
n11878808 n12205694
a203495 a203495
v1914113 v1913997
v1987058 v1860795
n8602254 n8602254
n14026869 n14034177
n11937692 n12205694
r430447 r430447
a590782 a590782
n333829 n333829
v2748495 v2604760
a3132560 a3132560
n886699 n883297
n11482706 n11439690
n2769963 n4191595
n162055 n161243
n510189 n509846
n9389746 n9389746
a1922227 a1922227
n7218853 n6634376
n12059314 n12041446
v1052782 v1052782
n8161971 n8163273
v2459532 v2327200
n1600909 n1507175
n14110674 n14052403
n7880458 n7557434
n10131590 n9641757
n10395073 n10335246
n53806 n42757
a2636811 a2636811
n10552639 n10099375
n11443173 n11524662
v1928730 v1926311
n14433361 n13945919
n10047371 n10047459
n13108323 n13104059
n4662730 n4661706
a1397786 a1397786
n13732078 n13729428
n3805634 n3526198
a1069283 a1069283
a599111 a599111
n490569 n455599
n8470034 n7965085
n6156169 n6153846
n3193597 n4170037
n6229586 n5946687
n3589672 n2778669
n10889533 n10889533
n10948312 n10948312
n5975659 n5975659
a1877617 a1877617
a2215769 a2215769
a2156505 a2156505
a3034192 a3034192
n8939562 n8574314
a565799 a565799
n10179527 n10791221
n5652926 n5652926
v2195191 v2115778
a2058148 a2058148
n14472900 n14462666
n7204240 n6725877
n11923016 n11567411
a3073751 a3073751
a888051 a888051
n13147918 n13100677
n14829470 n14792703
n13049561 n7992450
n235435 n235435
n8122358 n8337324
a2911112 a2911112
n4565233 n8592656
n10072346 n10786517
n7243837 n7238694
v1698152 v1697816
n8220714 n8220714
n3325769 n3076708
a2866976 a2866976
n7086215 n7083732
n7914271 n7881800
a2142306 a2142306
a1770726 a1770726
n9894445 n10480253
n5049458 n5044673
n4999964 n4997988
n9678747 n9678009
n7218470 n6470073
n9434237 n19128
a2622210 a2622210
n2098906 n2087122
v21554 v78760
n3614887 n3489162
n8411701 n8411170
n13568983 n13526110
v1664847 v1664172
n1457852 n2514825
n4472961 n2886599
n10816890 n10816890
a1060947 a1060947
v1111570 v2210855
n14893652 n14966667
n2309337 n2311060
a2661806 a2661806
n14624191 n14622893
n11457944 n11462526
n3937835 n3766322
v1880560 v1880673
r405169 r405169
n1707895 n8106934
a913454 a913454
v516294 v515154
n5613625 n23773
n11120368 n11120368
n13554343 n29677
a178126 a178126
n5265139 n19128
n1193672 n1181475
n1418237 n7992450
n6689948 n6689297
n11878520 n14966667
n12300625 n11567411
r287842 r287842
a2156934 a2156934
n9145083 n9145083
n14158424 n14061805
n12432069 n12431861
n14183420 n14174549
n7013549 n8459252
v580865 v126264
n13878634 n13862780
n1443243 n1428580
n4433377 n2815950
n813571 n803617
n3878511 n8570758
v1341897 v1341897
n7757132 n7705711
a590390 a590390
n9184668 n23773
n563998 n5902545
n14590293 n14586258
n9869447 n9629752
n3600285 n4489008
v1625206 v1621555
n5515157 n5513302
a2288350 a2288350
n10841880 n10841880
n1634392 n8108972
n3193754 n3183080
n7796750 n7555863
n9159675 n9159675
a4296 a4296
a65184 a65184
n2828427 n3309808
a1706111 a1706111
a130151 a130151
r200243 r200243
n9473808 n9473808
n9448829 n9190918
a1310545 a1310545
n5540121 n5267345
n10238029 n10605985
n1154083 n1123598
n2050921 n1507175
n6891022 n6887726
n7086518 n28270
n788007 n786195
v2004874 v2004874
n9664121 n9644820
a433972 a433972
n6445473 n6445473
n15049594 n14939445
n3168774 n4213626
n11109970 n11109970
n7723753 n7705711
a2827571 a2827571
n14829073 n14728724
n15265219 n28270
n9507756 n9507756
v2709277 v2708420
n7434102 n7420770
n12662379 n13112664
n14506920 n13920835
n13338657 n13403331
n4951978 n4951373
n13172923 n13172923
n4408330 n4408330
a1212095 a1212095
n392468 n392468
n6832680 n6817623
a3132360 a3132360
n9928364 n10099375
n10782940 n10782940
n5588174 n5585665
n1384313 n4475
n103737 n103140
n10008123 n10317007
n6181284 n6172789
a2240379 a2240379
n1609391 n1605630
v134898 v109660
n2059393 n1507175
v69570 v72989
v1375295 v1375295
n2491107 n2469914
a1358534 a1358534
a1192786 a1192786
n10900730 n10900730
n9737653 n9641757
n4071102 n4191595
n14927587 n14792703
n4085746 n3733925
n9953350 n10284064
v2352824 v2327200
n15074568 n14786479
n7409121 n7307754
n12676940 n12674120
n1648993 n8108972
n3962852 n2821943
n5147940 n5147381
n1482887 n1432517
n4531873 n4531873
n13962498 n13962498
n1850035 n1507175
n6748841 n6746580
n7316999 n7300960
n2202006 n2200198
n13495413 n13440063
n3516367 n3178782
n7448717 n7288639
r273238 r273238
r312925 r312925
a1588426 a1588426
n9967967 n9765278
n10072708 n10072708
n10361525 n7846
a360442 a360442
n11516819 n11419404
a2729065 a2729065
a1299687 a1299687
n7855603 n7809096
n11707109 n11567411
n12275131 n12268246
n9400826 n9224911
n12853080 n12205694
n426388 n410247
n8807716 n8807716
a105197 a105197
v1532589 v1532589
a2215382 a2215382
a1672239 a1672239
v1341815 v1340439
n14242337 n14061805
n740048 n66216
n10802283 n10802283
n7639475 n7628870
n11805544 n13085113
n2951843 n4191943
n6024431 n5816622
n3213014 n3269401
n4853503 n4852088
n4374421 n2681518
a144728 a144728
n4046172 n3964744
n10277638 n10340312
n13687906 n13604718
n2926886 n4233405
n10336537 n9631463
a2254971 a2254971
a1995288 a1995288
n12735817 n1384687
n4447965 n14818238
n13648378 n13603065
n13001930 n12992868
n12637319 n11567411
n3120778 n4105893
n2525012 n1432517
n12309052 n13112664
n8734250 n8734250
v2122060 v2122164
n7664468 n7555863
n5843513 n5838765
n3129123 n3129123
n13593908 n13582013
v1218396 v1217043
n5001482 n4997988
v120217 v119873
n9341987 n9313716
n367427 n365709
a1021301 a1021301
v877559 v784342
n4696193 n4692157
n5745486 n791078
n14638799 n14625458
n10263002 n10101634
n14217360 n14217360
a1035976 a1035976
v457327 v457327
n12289744 n8106934
a2010441 a2010441
v2700867 v2700867
n4506895 n3309808
n10743356 n9615465
a1731108 a1731108
a2998988 a2998988
n3061893 n3502509
n6288024 n6286395
n6675338 n6470073
n9409203 n9409203
n6807657 n6806469
v2641957 v2641463
n12348635 n12348294
n2466132 n5559908
n2853449 n3839993
n3830582 n3740161
n10684446 n9629246
a203614 a203614
r478175 r478175
a31824 a31824
v779061 v779061
n11359412 n11359412
n14099552 n14052403
r248249 r248249
n5529729 n5531161
n3923229 n3740161
n6964485 n6904171
n6313651 n6313651
n1575577 n7992450
v961329 v938247
n14349628 n5823932
n4158807 n2858304
n4828485 n4827652
a2768611 a2768611
n3732114 n8664443
n11771746 n11771746
n9532691 n9532691
n13707237 n13707237
a1877521 a1877521
n2118176 n2083346
a2010536 a2010536
n7400701 n7371293
n11746776 n7992450
n729637 n582388
n11036521 n11036521
n8004953 n28651
n6518565 n6472025
n8518505 n8523483
v672277 v698855
n10179207 n9931640
v2602458 v2367363
n10131268 n10527334
n12143215 n12141495
n4046091 n2773037
n10757918 n7347
n14579827 n13945919
n1825155 n1507175
r385946 r385946
n12603959 n12603959
n12118223 n11556857
n8220620 n7990956
n10684538 n7347
v1757021 v1654628
n5902327 n5898568
v1316813 v1315613
n10659571 n9615465
n656192 n657604
n4276050 n3525827
n14281851 n14276936
a119875 a119875
n3457578 n3282591
n10434947 n10340312
n6543536 n6532095
n10170866 n7846
a1779193 a1779193
n5686690 n5686481
n13422545 n13386614
a815000 a815000
n4301474 n3269401
n6773857 n6771653
n3707171 n3305522
n7145314 n7140659
a1153141 a1153141
n14026592 n14373582
a3073420 a3073420
n959992 n955060
n4579795 n4306080
n7184965 n7180787
n1864707 n8108972
n15133488 n28270
n11937360 n11669921
n426275 n410247
v2313250 v2213690
v496956 v2210855
n3482523 n3975232
a2754012 a2754012
n5456257 n6484
n9028643 n9028643
n2892948 n3574816
n11227101 n11227101
a1128103 a1128103
n12182858 n11567411
n4590129 n2851099
a697188 a697188
n14335006 n5823932
n8748917 n8748917
n11266703 n11266703
n5397468 n5397468
r189401 r189401
a781168 a781168
n14795598 n14850483
v2038145 v2038357
a2406166 a2406166
n1791107 n1791107
n13937554 n13937554
a2695229 a2695229
n10718349 n10490699
n4183819 n4183819
n6254669 n6254669
n4794580 n4792127
n4349401 n3269401
n1227495 n1209220
n3252637 n3327234
n13746785 n13728499
n12373526 n11567411
n14722589 n14662574
n2143142 n1886756
n14256889 n14061805
n13673362 n13604718
n7855510 n7809096
a1094398 a1094398
r346302 r346302
n12867679 n11567411
n9762509 n9617867
v1507596 v1508368
v2411621 v2411621
n9111754 n9111754
v1723690 v1719302
n970331 n970331
r141485 r141485
n8978821 n8978821
n13495507 n13495507
a795785 a795785
n6709112 n6696483
n7375214 n7283608
v168217 v146138
n11976933 n13112664
v2136754 v2137132
v227042 v226566
a2720715 a2720715
n8773880 n8773880
a638841 a638841
n10420392 n10560637
n5074374 n5072663
n2999936 n4081844
a90219 a90219
n12446737 n13134302
n10106242 n9622049
n6939431 n6904171
r34308 r34308
n12202234 n14991712
v2386266 v2386266
a1481612 a1481612
n4144241 n3600977
n3555996 n3925226
v2459633 v2327200
a2959406 a2959406
a408992 a408992
n13035241 n12992868
r444720 r444720
n5647015 n5645597
a2504558 a2504558
n12769219 n13109733
n13520981 n13489037
n886582 n883297
n3359436 n3744840
n12912498 n11567411
v291624 v515154
a913387 a913387
a2372118 a2372118
v1448778 v1448100
n13074814 n12997654
v1473729 v1473346
n11648617 n8108972
n7914586 n7881800
n8391953 n8198398
n499263 n455599
n10552742 n9616922
v1855606 v1855606
n12760875 n13112664
n7880583 n7628870
n3600169 n3278248
n3154073 n3154446
n2275560 n2274259
n3805503 n3169390
v1434140 v1434140
a2754096 a2754096
a722611 a722611
r430105 r430105
v2734140 v2604760
n4662858 n4661706
n8077842 n8189659
n14335097 n5823932
v1914453 v2050132
n3589313 n3589313
n2334337 n8108972
n11830570 n11567411
n3541393 n4019101
a1936997 a1936997
n12216836 n11567411
r419795 r419795
n9375481 n9307300
v1389942 v1587062
a1961937 a1961937
n2407763 n2402425
v686879 v686447
n10527147 n10618848
n10611541 n7846
n8939201 n8939201
n5172953 n5138208
n1732789 n1732244
n6602324 n6601327
v1816054 v1816054
v706047 v705227
n1839750 n1838038
n14820747 n14586258
n9014066 n9014066
a3107450 a3107450
n2182796 n1762525
n6215043 n6208021
n15290132 n15180528
n11482873 n11524662
n6195839 n6193203
n5231769 n5225602
r371344 r371344
a79896 a79896
n4721650 n4721058
n2432704 n2394477
n12084400 n12041446
n13206817 n11545524
a2431178 a2431178
n6641924 n6636259
n11600671 n7992450
n11061552 n11061552
n10948656 n10948656
n12505563 n11567411
n8122009 n8122009
a1613839 a1613839
v804653 v804653
r141405 r141405
n11443283 n11524662
v252019 v252019
n13600404 n13600404
v1698271 v1698271
v731000 v690614
a2793681 a2793681
n3580990 n3183080
n10875249 n10875249
n12059479 n11556857
v1409177 v1409177
n6097478 n6090869
a2911488 a2911488
n176766 n162632
a663807 a663807
a2470734 a2470734
n622859 n620752
r189278 r189278
a1442079 a1442079
n5265038 n5263850
n2985137 n3277771
n2539573 n1428580
r430261 r430261
a2852679 a2852679
n10611613 n9617867
n13133613 n13134947
n9243615 n9243615
v555780 v173338
n2769669 n3294048
v580720 v126264
v804476 v804476
a927978 a927978
n9218641 n9366317
a2661922 a2661922
v2518625 v2518161
n3878418 n4451818
v1664981 v1664172
n13363704 n13244109
v2748759 v2748759
a663981 a663981
n1732989 n1732244
n5279688 n5267345
n13839120 n31921
v2484771 v1323958
n622957 n620752
a2156822 a2156822
r248104 r248104
a2288490 a2288490
n7664379 n7555863
n8038379 n8038379
v325647 v140123
n11134895 n11134895
n1418114 n1326291
n8641944 n8648322
n8616985 n8616311
n5324553 n13860793
v1625343 v1621555
n8411849 n8411849
v516142 v515154
n7782204 n7775905
n2241569 n2241569
n13108662 n13108662
n3937931 n4359589
a913306 a913306
a1021499 a1021499
n8352303 n8208016
n6156346 n6153846
n11418460 n11418460
n4769716 n4767347
n12985420 n12992868
n3398950 n2851099
n1443126 n1432517
a203774 a203774
v120316 v120316
v902932 v990655
n9434125 n9416076
r405269 r405269
v541163 v154778
n8832691 n8832691
v1855447 v1850315
a2117232 a2117232
v1375120 v1374767
n11443409 n11524662
a1745653 a1745653
n7013400 n6260121
a130281 a130281
n7796877 n7555863
n9170109 n9170109
n15279957 n15286249
r214761 r214761
v1389776 v1587062
a2347371 a2347371
n14868771 n14875077
n14829172 n14676042
v1145024 v1480149
a4171 a4171
n11168218 n11168218
n5515287 n5513302
n392335 n392335
n7170282 n6725877
n6459978 n6459978
n4242704 n3133538
r287749 r287749
n7507560 n7506569
n10033082 n9815790
n6386440 n6387980
n12721122 n13112664
a3107285 a3107285
n6832572 n6817623
n10145902 n10373998
a2386962 a2386962
a2622386 a2622386
n4951875 n4951373
n7448885 n7288639
v291757 v280930
n9869317 n10605985
a1069454 a1069454
a3146895 a3146895
a467240 a467240
n14183337 n14174549
n11384566 n11384566
n2011281 n2000954
a829496 a829496
a2827662 a2827662
n8905936 n8905936
n12407396 n13104059
v2459799 v2327200
n2050809 n2021795
n13060190 n12992868
n6229853 n5946687
n5818620 n5817396
n4012665 n3733925
n1457708 n1432517
n5074559 n5072663
n14433505 n13920835
n7243565 n7241205
n12760722 n11567411
n9507639 n9507639
n15265331 n28270
r200146 r200146
n5770391 n5770664
n13338780 n13403331
n10238127 n10791221
a2083391 a2083391
n1923404 n1905661
n5975473 n6167328
a1515525 a1515525
n9967816 n9609232
a2372303 a2372303
n2828555 n2913152
n2564572 n1432517
a2240490 a2240490
r273133 r273133
n6748703 n6486874
n5843687 n5838765
n14408519 n14408086
n7409255 n7307754
a854413 a854413
n10179291 n10179291
n2216547 n1759182
n7434209 n7363346
n9992837 n9918248
n7678953 n7882497
n695944 n657604
n3923379 n2876657
n87073 n41899
n8689947 n8630039
n13805734 n7997703
n12637485 n12637485
n8327390 n8077292
r141262 r141262
n3443005 n2735688
v2352946 v2327200
n8748794 n8748794
v350461 v2679899
n11359558 n11359558
r155893 r155893
n12578626 n11747468
n9796062 n10605985
v975902 v974367
a3009016 a3009016
n1227691 n34574
v1302365 v1302365
n6122976 n6115476
n4912240 n4897762
n103834 n45250
n2623445 n2623445
n1536035 n1529672
n15231964 n15231964
n2696384 n3740161
n14099643 n14052403
a697389 a697389
n10586166 n10557854
a2729182 a2729182
n11707229 n11703669
n7639344 n7628870
a144877 a144877
n7816164 n7811416
v1170052 v1170052
n7855721 n7809096
n4217718 n4217718
n3418052 n13860793
n4637923 n4623612
v1184625 v1184625
v2470175 v2434976
n13529295 n13482330
n5902545 n5902545
n4119478 n4105893
n14624025 n14622893
n10336411 n10633450
v2220461 v2220461
v2543482 v797430
v1316955 v1332730
n7987380 n7975026
n11193250 n11193250
n754767 n751145
a31974 a31974
v2700772 v2700772
v936330 v933821
n3227505 n2686568
v2411802 v2413480
a1417228 a1417228
n12241699 n11567411
n14217253 n14217253
n9953275 n9936362
v2709107 v2708420
n5554804 n5221895
n10802147 n10335931
n14349717 n5823932
n6024576 n5816622
n3962932 n3001627
n3457686 n3461385
n5745369 n791078
n656386 n656292
n9277010 n9277010
n4780114 n4778630
n13495333 n13526110
n911905 n911048
n2098806 n2087122
v2161530 v2161530
n1482754 n1429349
a3000608 a3000608
a2577454 a2577454
n4447861 n4161981
n3384352 n4170037
n8964288 n8964288
n14301785 n5823932
n9639237 n7967982
n8195132 n8208016
n3830448 n3096593
n13962360 n13961642
n14952654 n14585519
n4794751 n4794751
n13746946 n13728499
n12348518 n12348294
n11286117 n11286117
n2794664 n3699975
n13279809 n13275847
n7111933 n6284225
n10263146 n9617867
n5686481 n5686481
n2912319 n3700963
n7400831 n7283608
n2662993 n2552171
a1686906 a1686906
n4085574 n3419014
a1922410 a1922410
n656292 n656292
n1825009 n7992450
n2118058 n8108972
a1877416 a1877416
a1358363 a1358363
n1609549 n1507175
n14795432 n14850483
n13707346 n13707237
n9723067 n9738400
v193328 v109660
n7841037 n7809096
n1561059 n1507175
a335421 a335421
n13001743 n8108972
a2215567 a2215567
n11036405 n11036405
n8220534 n8426461
v398484 v255389
a2695389 a2695389
n221056 n220023
a2431024 a2431024
v168393 v168393
n4374521 n3489162
n7389931 n7387509
n9532553 n9532553
n4579667 n4579667
n2432867 n8108972
v1013367 v1013367
n4662951 n4662951
a2984333 a2984333
v1243474 v1410223
n8470210 n8464601
n10170989 n10595647
a119993 a119993
n1311344 n1311344
n15206943 n13575869
v1052936 v2175958
n9953178 n9931640
n2182642 n2164464
r73897 r73897
n4565039 n4341686
a1397998 a1397998
n11311623 n11311623
n12539074 n13100677
a1128253 a1128253
n3252542 n3453809
a2768740 a2768740
v961243 v959827
n5759949 n5752544
n11541713 n8106934
n13422411 n13384557
v423971 v423971
a276689 a276689
n14531983 n14530061
n7816052 n7809096
n5495981 n5462674
a2445636 a2445636
n681299 n1024392
a3073574 a3073574
n10684630 n10251779
n1022483 n209943
n11502102 n11524662
n13397018 n14490110
n3673270 n3892891
v94460 v94460
n4158956 n2883344
r180944 r180944
r273048 r273048
n13673455 n13604718
a1456710 a1456710
n13231919 n12997654
n3325941 n3497657
n3732020 n3574816
n7914413 n7881800
n2637977 n2637977
n4349526 n14778436
n4590021 n2828884
v2038278 v2038357
a756091 a756091
n13771828 n13760316
n1120855 n1090446
n10645017 n10317007
v1532434 v1532434
n6709245 n6696483
r346428 r346428
n5108262 n5107765
n6504049 n6636259
n12794135 n12205694
v2063225 v2062632
n269018 n269018
n729731 n582388
a795671 a795671
n1398941 n14989820
r155995 r155995
n14242132 n14061805
v227165 v227165
n53609 n42757
n4696316 n4692157
n28651 n28651
n10420277 n9979321
n13864035 n13865483
n9184834 n23773
n13520849 n13526110
n9664295 n9644820
n1359365 n1326291
r419876 r419876
